timestamp,value,volume
2023-11-28,37818.87,37544.46667000
2023-11-29,37854.64,32994.19107000
2023-11-30,37723.96,24740.29147000
2023-12-01,38682.52,43415.66324000
2023-12-02,39450.35,26696.92161000
2023-12-03,39972.26,26710.65335000
2023-12-04,41991.10,79272.33059000
2023-12-05,44073.32,67490.74644000
2023-12-06,43762.69,51431.10492000
2023-12-07,43273.14,47103.26845000
2023-12-08,44170.99,42900.37556000
2023-12-09,43713.60,24925.97008000
2023-12-10,43789.51,18956.61758000
2023-12-11,41253.40,76663.89804000
2023-12-12,41492.39,42722.69773000
2023-12-13,42869.03,45865.99773000
2023-12-14,43022.26,42047.05709000
2023-12-15,41940.30,33421.79320000
2023-12-16,42278.03,24118.85747000
2023-12-17,41374.65,27722.11452000
2023-12-18,42657.80,46734.09250000
2023-12-19,42275.99,40927.86444000
2023-12-20,43668.93,48710.29470000
2023-12-21,43861.80,34624.29384000
2023-12-22,43969.04,32783.19638000
2023-12-23,43702.16,16557.12930000
2023-12-24,42991.50,25144.33496000
2023-12-25,43576.13,27021.23992000
2023-12-26,42508.93,41010.04282000
2023-12-27,43428.85,36191.21136000
2023-12-28,42563.76,35150.52485000
2023-12-29,42066.95,42597.18912000
2023-12-30,42140.28,22906.57818000
2023-12-31,42283.58,23585.91603000
2024-01-01,44179.55,27174.29903000
2024-01-02,44946.91,65146.40661000
2024-01-03,42845.23,81194.55173000
2024-01-04,44151.10,48038.06334000
